id,round_player_id,hole_id,strokes,putts,fairway_hit,green_in_regulation,created_at
001f6e1a-77ea-43b7-a993-46f61b2a512a,1247d805-1ca1-4390-8800-ef342eefe637,65da74eb-ef59-4f11-9b8b-b632d85822ae,5,,,,2025-12-14 04:59:12.123854+00
0044ff75-bca6-4157-83da-33bdfaed1121,f1df7ada-74e3-4dae-885d-c1d52be5bc7e,5d017298-e819-4210-8749-2bde9339f600,4,,,,2025-12-23 02:01:28.062671+00
00890c87-cf8f-43c3-b48f-028c6d0862dc,4d54c5a2-41b3-4dd0-b557-7a2083e47520,e867db67-3712-438f-852c-22184f644ba7,4,,,,2025-12-14 01:48:44.668816+00
009b11a0-4b8e-4f74-9380-b18f04d66ca7,6fd6449f-761d-44e3-b851-bdde039e3e59,2dd4343f-f9c8-4eaf-a9ae-b94605780c0f,5,,,,2025-12-14 01:48:40.98901+00
00b9747d-65cb-41b2-8834-b4bb55e9f5c6,1247d805-1ca1-4390-8800-ef342eefe637,d6cdc5ae-9b90-489e-880f-b77c1e24d0d5,5,,,,2025-12-14 04:59:12.555784+00
00cee00e-8522-4584-863c-99c02082da74,23c92772-facb-48d0-806f-1135f2d46772,70f0e883-f4b1-4a7f-b2ff-dd80468f8f59,5,,,,2025-12-15 21:44:27.261318+00
00d82353-08cf-4150-8068-d803bbbf55b6,962247c9-09fd-4f85-8e5e-cc771e2a307b,c71ba695-acb6-4219-b6f2-f69b61f89dbf,5,,,,2025-12-14 01:51:03.811123+00
01562c2a-08af-4bbd-8eaf-5eaf3a911448,ea80cfd0-0dd9-4017-85b5-cfd8f7e377cb,5d017298-e819-4210-8749-2bde9339f600,5,,,,2025-12-23 02:01:24.681527+00
01af4a61-1d46-4c5f-98f0-d1377729e02b,8194d048-c067-43ac-8309-d1ce7992ebea,2f6e7848-a3c8-4267-b4f8-34d0f9baadcb,4,,,,2025-12-15 21:20:28.773015+00
01bdcfd1-e8a8-43ed-8dd4-4aff4591705e,d939492c-2eea-4e7a-a618-a4356688b518,ee495ddc-22fe-46d8-a20d-c923f6e2ded9,4,,,,2025-12-14 01:48:48.689935+00
